study_group,title,year,journal,identifiers,sources,n_source_records
S10800,Role of biofilm in host–pathogen interaction,2022,A Complete Guidebook on Biofilm Study,doi:10.1016/b978-0-323-88480-8.00016-9,Scopus (brazo A); Scopus (brazo B),2
S13948,"Role of gut bacterial and non-bacterial microbiota in alcohol-associated liver disease: Molecular mechanisms, biomarkers, and therapeutic prospective",2022,Life Sciences,doi:10.1016/j.lfs.2022.120760 pmid:35787997,Scopus (brazo B),1
S14523,Roles for non-human primate-associated phage diversity in improving medicine and public health,2022,"Evolution, Medicine and Public Health",doi:10.1093/emph/eoac006,Scopus (brazo B),1
S14146,SARS-CoV-2 Whole-Genome Sequencing Using Oxford Nanopore Technology for Variant Monitoring in Wastewaters,2022,Frontiers in Microbiology,doi:10.3389/fmicb.2022.889811,Scopus (brazo B),1
S5161,SARS-CoV-2 neutralizing camelid heavy-chain-only antibodies as powerful tools for diagnostic and therapeutic applications.,2022,Frontiers in immunology,doi:10.3389/fimmu.2022.930975 pmid:36189209,PubMed,1
S4560,SARS-CoV-2 surrogate (Phi6) environmental persistence within free-living amoebae.,2022,Journal of water and health,doi:10.2166/wh.2021.167 pmid:35100156,PubMed,1
S10720,SGP-C: A Broad Host Range Temperate Bacteriophage; Against Salmonella gallinarum,2022,Frontiers in Microbiology,doi:10.3389/fmicb.2021.768931,Scopus (brazo A); Scopus (brazo B),2
S14360,SLAMF6/Ly108 promotes the development of hepatocellular carcinoma via facilitating macrophage M2 polarization,2022,Oncology Letters,doi:10.3892/ol.2022.13203,Scopus (brazo B),1
S13870,STAND alert! Prokaryotic immunity for recognition and defense against bacteriophages,2022,Trends in Microbiology,doi:10.1016/j.tim.2022.10.004 pmid:36272886,Scopus (brazo B),1
S5047,Safety and Efficacy of an AIEC-targeted Bacteriophage Cocktail in a Mice Colitis Model.,2022,Journal of Crohn's & colitis,doi:10.1093/ecco-jcc/jjac064 pmid:35997152,PubMed; Scopus (brazo B),2
S4433,Safety and Pharmacokinetics of Exebacase in an Infant With Disseminated Staphylococcus aureus Infection.,2022,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,doi:10.1093/cid/ciab1015 pmid:34894129,PubMed; Scopus (brazo B),2
S4646,Safety and efficacy of phage therapy in difficult-to-treat infections: a systematic review.,2022,The Lancet. Infectious diseases,doi:10.1016/s1473-3099(21)00612-5 pmid:35248167,PubMed; Scopus (brazo B),2
S5073,Safety and efficacy of phage therapy in difficult-to-treat infections: studies in Chinese literature.,2022,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,doi:10.1007/s10096-022-04490-9 pmid:36066758,PubMed; Scopus (brazo A); Scopus (brazo B),3
S5399,"Safety and microbiological activity of phage therapy in persons with cystic fibrosis colonized with Pseudomonas aeruginosa: study protocol for a phase 1b/2, multicenter, randomized, double-blind, placebo-controlled trial.",2022,Trials,doi:10.1002/central/cn-02510748/full doi:10.1186/s13063-022-07047-5 nct:NCT05453578 pmid:36578069,Cochrane CENTRAL; PubMed; Scopus (brazo A); Scopus (brazo B),4
S5060,Salmonella Enteritidis Bacteriophages Isolated from Kenyan Poultry Farms Demonstrate Time-Dependent Stability in Environments Mimicking the Chicken Gastrointestinal Tract.,2022,Viruses,doi:10.3390/v14081788 pmid:36016410,PubMed,1
S4667,Salmonella enterica subsp. enterica Welikade: guideline for phylogenetic analysis of serovars rarely involved in foodborne outbreaks.,2022,BMC genomics,doi:10.1186/s12864-022-08439-2 pmid:35303794,PubMed,1
S14076,"Salmonella phage akira, infecting selected Salmonella enterica Enteritidis and Typhimurium strains, represents a new lineage of bacteriophages",2022,Archives of Virology,doi:10.1007/s00705-022-05477-9 pmid:35764845,Scopus (brazo B),1
S14324,Salphage: Salvage Bacteriophage Therapy for Recalcitrant MRSA Prosthetic Joint Infection,2022,Antibiotics,doi:10.3390/antibiotics11050616,Scopus (brazo B),1
S5132,Salphage: salvage bacteriophage therapy for a recalcitrant Klebsiella pneumoniae prosthetic shoulder infection - a case report.,2022,Acta orthopaedica,doi:10.2340/17453674.2022.4579 pmid:36148618,PubMed; Scopus (brazo B),2
S4915,Screening and Identification of a Novel Anti-Siglec-15 Human Antibody 3F1 and Relevant Antitumor Activity.,2022,Molecular pharmacology,doi:10.1124/molpharm.121.000470 pmid:35764384,PubMed,1
S14578,Screening and formulation of novel carriers for Xanthomonas bacteriophage to control bacterial leaf blight disease,2022,Malaysian Journal of Microbiology,doi:10.21161/mjm.221435,Scopus (brazo B),1
S14122,Screening and identification of nucleocapsid protein-nanobodies that inhibited Newcastle disease virus replication in DF-1 cells,2022,Frontiers in Microbiology,doi:10.3389/fmicb.2022.956561,Scopus (brazo B),1
S4776,Screening and identification of vancomycin anti-idiotypic antibodies for against Staphylococcus aureus from a human phage display domain antibody library.,2022,Immunology letters,doi:10.1016/j.imlet.2022.04.005 pmid:35504507,PubMed,1
S14191,Screening of Anorectal and Oropharyngeal Samples Fails to Detect Bacteriophages Infecting Neisseria gonorrhoeae,2022,Antibiotics,doi:10.3390/antibiotics11020268,Scopus (brazo B),1
S14211,Screening of Potential Vibrio cholerae Bacteriophages for Cholera Therapy: A Comparative Genomic Approach,2022,Frontiers in Microbiology,doi:10.3389/fmicb.2022.803933,Scopus (brazo B),1
S14017,Screening of sperm antigen epitopes by phage display technique and its preliminary clinical application,2022,Basic and Clinical Andrology,doi:10.1186/s12610-022-00172-w,Scopus (brazo B),1
S5264,"Screening, Expression, and Identification of Nanobody against SARS-CoV-2 Spike Protein.",2022,Cells,doi:10.3390/cells11213355 pmid:36359751,PubMed,1
S10813,Secondary antiviral metabolites from fungi with special reference to coronaviruses,2022,Biocell,doi:10.32604/biocell.2022.019301,Scopus (brazo A),1
S4917,Selection and identification of a specific peptide binding to ovarian cancer cells from a phage-displayed peptide library.,2022,Biotechnology letters,doi:10.1007/s10529-022-03263-w pmid:35771408,PubMed,1
S4376,Selection for Phage Resistance Reduces Virulence of Shigella flexneri.,2022,Applied and environmental microbiology,doi:10.1128/aem.01514-21 pmid:34788068,PubMed; Scopus (brazo B),2
S4557,Selection of Cancer Stem Cell-Targeting Agents Using Bacteriophage Display.,2022,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-0716-1811-0_41 pmid:35094358,PubMed,1
S13941,Selection of Listeria monocytogenes InlA-Binding Peptides Using Phage Display—Novel Compounds for Diagnostic Applications?,2022,Applied Microbiology,doi:10.3390/applmicrobiol2040070,Scopus (brazo B),1
S5234,Selection of a PD-1 blocking antibody from a novel fully human phage display library.,2022,Protein science : a publication of the Protein Society,doi:10.1002/pro.4486 pmid:36317676,PubMed,1
S4640,Selection of human single domain antibodies (sdAb) against thymidine kinase 1 and their incorporation into sdAb-Fc antibody constructs for potential use in cancer therapy.,2022,PloS one,doi:10.1371/journal.pone.0264822 pmid:35239730,PubMed,1
S10826,Selective COVID-19 Coinfections in Diabetic Patients with Concomitant Cardiovascular Comorbidities Are Associated with Increased Mortality,2022,Pathogens,doi:10.3390/pathogens11050508,Scopus (brazo A); Scopus (brazo B),2
S4525,Self-Assembling Lectin Nano-Block Oligomers Enhance Binding Avidity to Glycans.,2022,International journal of molecular sciences,doi:10.3390/ijms23020676 pmid:35054861,PubMed,1
S13884,Self-Disinfecting Urethral Catheter to Overcome Urinary Infections: From Antimicrobial Photodynamic Action to Antibacterial Biochemical Entities,2022,Microorganisms,doi:10.3390/microorganisms10122484,Scopus (brazo B),1
S13786,Self-assembled peptide-paclitaxel nanoparticles for enhancing therapeutic efficacy in colorectal cancer,2022,Frontiers in Bioengineering and Biotechnology,doi:10.3389/fbioe.2022.938662,Scopus (brazo B),1
S5197,Serological responses to human virome define clinical outcomes of Italian patients infected with SARS-CoV-2.,2022,International journal of biological sciences,doi:10.7150/ijbs.78002 pmid:36263161,PubMed; Scopus (brazo B),2
S14583,Severe alcoholic hepatitis as precipitant for organ failure and ACLF,2022,Zeitschrift fur Gastroenterologie,doi:10.1055/a-1713-3796 pmid:35042255,Scopus (brazo B),1
S4527,Sex differences in proteomic correlates of coronary microvascular dysfunction among patients with heart failure and preserved ejection fraction.,2022,European journal of heart failure,doi:10.1002/ejhf.2435 pmid:35060248,PubMed; Scopus (brazo B),2
S5028,Shooting hoops: globetrotting plasmids spreading more than just antimicrobial resistance genes across One Health.,2022,Microbial genomics,doi:10.1099/mgen.0.000858 pmid:35960657,PubMed,1
S14161,Shopping for phages? Unpacking design rules for therapeutic phage cocktails,2022,Current Opinion in Virology,doi:10.1016/j.coviro.2021.12.011 pmid:34971929,Scopus (brazo B),1
S14372,Short and oral antimicrobial therapy for diabetic foot infection: A narrative review of current knowledge,2022,Journal of Bone and Joint Infection,doi:10.5194/jbji-7-61-2022,Scopus (brazo B),1
S14580,Short review on the potential alternatives to antibiotics in the era of antibiotic resistance,2022,Journal of Applied Pharmaceutical Science,doi:10.7324/japs.2021.120102,Scopus (brazo B),1
S4361,Shotgun metagenomics evaluation of soil fertilization effect on the rhizosphere viral community of maize plants.,2022,Antonie van Leeuwenhoek,doi:10.1007/s10482-021-01679-4 pmid:34762236,PubMed,1
S4837,Should Bacteriophages Be Classified as Parasites or Predators?,2022,Polish journal of microbiology,doi:10.33073/pjm-2022-005 pmid:35635166,PubMed,1
S5142,Signals triggering prophage induction in the gut microbiota.,2022,Molecular microbiology,doi:10.1111/mmi.14983 pmid:36164818,PubMed,1
S14298,Silencing of Curlin Protein via M13 Phagemid-Mediated Synthetic sRNA Expression Reduces Virulence in the Avian Pathogenic E. coli (APEC),2022,Current Microbiology,doi:10.1007/s00284-022-02791-y pmid:35157141,Scopus (brazo B),1
S10804,Silver Nanoparticle-Based Combinations with Antimicrobial Agents against Antimicrobial-Resistant Clinical Isolates,2022,Antibiotics,doi:10.3390/antibiotics11091219,Scopus (brazo A); Scopus (brazo B),2
S14054,Similarities of P1-Like Phage Plasmids and Their Role in the Dissemination of blaCTX-M-55,2022,Microbiology Spectrum,doi:10.1128/spectrum.01410-22 pmid:36069562,Scopus (brazo B),1
S4650,"Simple Two-step, High Yield Protocol for Isolation and Amplification of Bacteriophages Against Methicillin-resistant Staphylococcus Aureus (MRSA).",2022,Current protocols,doi:10.1002/cpz1.395 pmid:35259286,PubMed; Scopus (brazo B),2
S4328,Single-cell profiling of proteins and chromatin accessibility using PHAGE-ATAC.,2022,Nature biotechnology,doi:10.1038/s41587-021-01065-5 pmid:34675424,PubMed,1
S10908,Siphoviridae bacteriophage treatment to reduce abundance and antibiotic resistance of Pseudomonas aeruginosa in wastewater,2022,International Journal of Environmental Science and Technology,doi:10.1007/s13762-021-03366-3,Scopus (brazo A),1
S4565,Site-specific integration as an efficient method for production of recombinant human hyaluronidase PH20 in semi-adherent cells.,2022,Applied microbiology and biotechnology,doi:10.1007/s00253-022-11794-5 pmid:35107633,PubMed,1
S14614,Skin microbiome of atopic dermatitis,2022,Allergology International,doi:10.1016/j.alit.2021.11.001 pmid:34838450,Scopus (brazo B),1
S5044,Small ubiquitin-related modifier-fused bacteriophage tail fiber protein with favorable aqueous solubility for lateral flow assay of Pseudomonas aeruginosa.,2022,Biosensors & bioelectronics,doi:10.1016/j.bios.2022.114637 pmid:35988432,PubMed; Scopus (brazo A),2
S14283,Soluble CD137 as a dynamic biomarker to monitor agonist CD137 immunotherapies,2022,Journal for ImmunoTherapy of Cancer,doi:10.1136/jitc-2021-003532 pmid:35236742,Scopus (brazo B),1
S4729,Solution structure ensemble of human obesity-associated protein FTO reveals druggable surface pockets at the interface between the N- and C-terminal domain.,2022,The Journal of biological chemistry,doi:10.1016/j.jbc.2022.101907 pmid:35398093,PubMed,1
S5279,"SourceFinder: a Machine-Learning-Based Tool for Identification of Chromosomal, Plasmid, and Bacteriophage Sequences from Assemblies.",2022,Microbiology spectrum,doi:10.1128/spectrum.02641-22 pmid:36377945,PubMed,1
S10732,Special Issue: Phage–Bacteria Interplay in Health and Disease,2022,Viruses,doi:10.3390/v14051054 pmid:35632795,Scopus (brazo A),1
S4517,Species-Scale Genomic Analysis of Staphylococcus aureus Genes Influencing Phage Host Range and Their Relationships to Virulence and Antibiotic Resistance Genes.,2022,mSystems,doi:10.1128/msystems.01083-21 pmid:35040700,PubMed; Scopus (brazo B),2
S5026,Specific Isolation of Clostridium botulinum Group I Cells by Phage Lysin Cell Wall Binding Domain with the Aid of S-Layer Disruption.,2022,International journal of molecular sciences,doi:10.3390/ijms23158391 pmid:35955526,PubMed,1
S5413,"Standardised treatment and monitoring protocol to assess safety and tolerability of bacteriophage therapy for adult and paediatric patients (STAMP study): protocol for an open-label, single-arm trial.",2022,BMJ open,doi:10.1136/bmjopen-2022-065401 pmid:36600337,PubMed; Scopus (brazo B),2
S14530,Staphylococci,2022,"Molecular Typing in Bacterial Infections, Volume II, Second Edition",doi:10.1007/978-3-030-83217-9_9,Scopus (brazo B),1
S10802,Staphylococcus aureus: Biofilm Formation and Strategies against it,2022,Current Pharmaceutical Biotechnology,doi:10.2174/1389201022666210708171123 pmid:34238148,Scopus (brazo A),1
S14058,Stem Cell Therapy Improves Human Islet Graft Survival in Mice via Regulation of Macrophages,2022,Diabetes,doi:10.2337/db22-0117 pmid:36084289,Scopus (brazo B),1
S4352,Strategies for Streptococcus mutans biofilm dispersal through extracellular polymeric substances disruption.,2022,Molecular oral microbiology,doi:10.1111/omi.12355 pmid:34727414,PubMed; Scopus (brazo B),2
S14053,Strategies for dispersion of cariogenic biofilms: applications and mechanisms,2022,Frontiers in Microbiology,doi:10.3389/fmicb.2022.981203,Scopus (brazo B),1
S10939,Structural Basis of Peptide-Based Antimicrobial Inhibition of a Resistance-Nodulation-Cell Division Multidrug Efflux Pump,2022,Microbiology Spectrum,doi:10.1128/spectrum.02990-22 pmid:36121287,Scopus (brazo A),1
S4755,Structural Requirements for the Binding of a Peptide to Prohibitins on the Cell Surface of Monocytes/Macrophages.,2022,International journal of molecular sciences,doi:10.3390/ijms23084282 pmid:35457098,PubMed,1
S4574,Structural and biological insights into Klebsiella pneumoniae surface polysaccharide degradation by a bacteriophage K1 lyase: implications for clinical use.,2022,Journal of biomedical science,doi:10.1186/s12929-022-00792-4 pmid:35130876,PubMed; Scopus (brazo B),2
S4875,Structural and functional analysis of a potent human neutralizing antibody against enterovirus A71.,2022,Science China. Life sciences,doi:10.1007/s11427-021-2095-0 pmid:35696017,PubMed,1
S4551,Structural and functional characterization of a monoclonal antibody blocking TIGIT.,2022,mAbs,doi:10.1080/19420862.2021.2013750 pmid:35090381,PubMed; Scopus (brazo B),2
S5180,Structural basis for host recognition and superinfection exclusion by bacteriophage T5.,2022,Proceedings of the National Academy of Sciences of the United States of America,doi:10.1073/pnas.2211672119 pmid:36215462,PubMed,1
S5140,Structural basis of AcrIF24 as an anti-CRISPR protein and transcriptional suppressor.,2022,Nature chemical biology,doi:10.1038/s41589-022-01137-w pmid:36163386,PubMed; Scopus (brazo A),2
S10701,Structural insights into the CP312R protein of the African swine fever virus,2022,Biochemical and Biophysical Research Communications,doi:10.1016/j.bbrc.2022.07.091 pmid:35933928,Scopus (brazo A),1
S5319,Structure and host specificity of Staphylococcus epidermidis bacteriophage Andhra.,2022,Science advances,doi:10.1126/sciadv.ade0459 pmid:36449623,PubMed,1
S4415,Structure and mutation analysis of the hexameric P4 from Pseudomonas aeruginosa phage phiYY.,2022,International journal of biological macromolecules,doi:10.1016/j.ijbiomac.2021.11.129 pmid:34856215,PubMed; Scopus (brazo A),2
S4810,Structure-guided affinity maturation of a novel human antibody targeting the SARS-CoV-2 nucleocapsid protein.,2022,Scientific reports,doi:10.1038/s41598-022-12242-0 pmid:35589780,PubMed,1
S9609,"Study Evaluating Safety, Tolerability, and Efficacy of Intravenous AP-SA02 in Subjects With S. Aureus Bacteremia",2022,,nct:NCT05184764,ClinicalTrials.gov,1
S9619,"Study to Evaluate the Safety, Phage Kinetics, and Efficacy of Inhaled AP-PA02 in Subjects With Non-Cystic Fibrosis Bronchiectasis and Chronic Pulmonary Pseudomonas Aeruginosa Infection",2022,https://clinicaltrials.gov/study/NCT05616221,doi:10.1002/central/cn-02495400/full nct:NCT05616221,Cochrane CENTRAL,1
S14112,Subtherapeutic Doses of Vancomycin Synergize with Bacteriophages for Treatment of Experimental Methicillin-Resistant Staphylococcus aureus Infective Endocarditis,2022,Viruses,doi:10.3390/v14081792 pmid:36016414,Scopus (brazo B),1
S14466,Success of nano-vaccines against COVID-19: a transformation in nanomedicine,2022,Expert Review of Vaccines,doi:10.1080/14760584.2022.2148659 pmid:36384360,Scopus (brazo B),1
S14172,Successful Use of Salvage Bacteriophage Therapy for a Recalcitrant MRSA Knee and Hip Prosthetic Joint Infection,2022,Pharmaceuticals,doi:10.3390/ph15020177,Scopus (brazo B),1
S4785,Superinfection exclusion factors drive a history-dependent switch from vertical to horizontal phage transmission.,2022,Cell reports,doi:10.1016/j.celrep.2022.110804 pmid:35545039,PubMed,1
S4638,Survey of Staphylococcus aureus carriage by free-living red deer (Cervus elaphus): Evidence of human and domestic animal lineages.,2022,Transboundary and emerging diseases,doi:10.1111/tbed.14500 pmid:35238483,PubMed,1
S5000,Susceptibility of Staphylococcus aureus strains to commercial therapeutic phage preparations.,2022,Bratislavske lekarske listy,doi:10.4149/bll_2022_116 pmid:35913007,PubMed; Scopus (brazo B),2
S14218,Swedish Efforts to Contain Antibiotic Resistance in the Environment—A Qualitative Study among Selected Stakeholders,2022,Antibiotics,doi:10.3390/antibiotics11050646,Scopus (brazo B),1
S14185,Synergism between the Synthetic Antibacterial and Antibiofilm Peptide (SAAP)-148 and Halicin,2022,Antibiotics,doi:10.3390/antibiotics11050673,Scopus (brazo B),1
S14374,Synergistic Effects of Bacteriophage vB_Eco4-M7 and Selected Antibiotics on the Biofilm Formed by Shiga Toxin-Producing Escherichia coli,2022,Antibiotics,doi:10.3390/antibiotics11060712,Scopus (brazo B),1
S14237,Synergistic Effects of Phage-Antibiotic Combinations against Citrobacter amalonaticus,2022,ACS Infectious Diseases,doi:10.1021/acsinfecdis.1c00117 pmid:34979073,Scopus (brazo B),1
S5152,Synergy of a virulent phage (φAB182) with antibiotics leading to successful elimination of biofilms formed by MDR Acinetobacter baumannii.,2022,Canadian journal of microbiology,doi:10.1139/cjm-2022-0080 pmid:36174234,PubMed; Scopus (brazo B),2
S4870,Synthesis and Immunological Study of N-Glycan-Bacteriophage Qβ Conjugates Reveal Dominant Antibody Responses to the Conserved Chitobiose Core.,2022,Bioconjugate chemistry,doi:10.1021/acs.bioconjchem.2c00211 pmid:35687881,PubMed,1
S4761,Synthetic Antibodies Detect Distinct Cellular States of Chromosome Passenger Complex Proteins.,2022,Journal of molecular biology,doi:10.1016/j.jmb.2022.167602 pmid:35469831,PubMed,1
S10843,Synthetic Biology Tools for Engineering Microbial Cells to Fight Superbugs,2022,Frontiers in Bioengineering and Biotechnology,doi:10.3389/fbioe.2022.869206,Scopus (brazo A); Scopus (brazo B),2
S4767,Synthetic antibodies block receptor binding and current-inhibiting effects of α-cobratoxin from Naja kaouthia.,2022,Protein science : a publication of the Protein Society,doi:10.1002/pro.4296 pmid:35481650,PubMed,1
S5292,Synthetic engineering and biological containment of bacteriophages.,2022,Proceedings of the National Academy of Sciences of the United States of America,doi:10.1073/pnas.2206739119 pmid:36409909,PubMed,1
S4587,Systematic analysis of putative phage-phage interactions on minimum-sized phage cocktails.,2022,Scientific reports,doi:10.1038/s41598-022-06422-1 pmid:35165352,PubMed; Scopus (brazo A),2
S5001,Systematic strategies for developing phage resistant Escherichia coli strains.,2022,Nature communications,doi:10.1038/s41467-022-31934-9 pmid:35918338,PubMed,1
S5133,Systemic antibody responses against human microbiota flagellins are overrepresented in chronic fatigue syndrome patients.,2022,Science advances,doi:10.1126/sciadv.abq2422 pmid:36149952,PubMed,1
S4912,Systemically targeted cancer immunotherapy and gene delivery using transmorphic particles.,2022,EMBO molecular medicine,doi:10.15252/emmm.202115418 pmid:35758207,PubMed,1
S4726,TCR-mimic bispecific antibodies to target the HIV-1 reservoir.,2022,Proceedings of the National Academy of Sciences of the United States of America,doi:10.1073/pnas.2123406119 pmid:35394875,PubMed,1
S14545,"THE CLINICAL AND EXPERIMENTAL SUBSTANTIATION OF BACTERIOPHAGES AND OXYGENATED PREPARATION APPLICATION IN DISSEMINATED PERITONITIS COMPLICATED WITH ENTERAL INSUFFICIENCY; [KЛИHИKO-ЭKCпEPИMEHTAЛЬHOE OБOCHOBAHИE пPИMEHEHИЯ БAKTEPИOФAГOB И OKCИГEHИPOBAHHOГO пPEпAPATA пPИ PACпPOCTPAHEHHOM пEPИTOHИTE, OCЛOЖHEHHOM ЭHTEPAЛЬHOЙ HEДOCTATOЧHOCTЬЮ]",2022,Medical News of North Caucasus,doi:10.14300/mnnc.2022.17063,Scopus (brazo B),1
S14432,THE CURRENT STATE OF THE PROBLEM AND A CLINICAL OBSERVATION OF THERAPY FOR OBSTETRIC SEPSIS CAUSED BY ESKAPE PATHOGENS,2022,Akusherstvo i Ginekologiya (Russian Federation),doi:10.18565/aig.2022.4.164-175,Scopus (brazo B),1
S4882,"TSP, a virulent Podovirus, can control the growth of Staphylococcus aureus for 12 h.",2022,Scientific reports,doi:10.1038/s41598-022-13584-5 pmid:35705576,PubMed,1
S5108,Target-Triggered Formation of Artificial Enzymes on Filamentous Phage for Ultrasensitive Direct Detection of Circulating miRNA Biomarkers in Clinical Samples.,2022,Angewandte Chemie (International ed. in English),doi:10.1002/anie.202210121 pmid:36108201,PubMed,1
S10725,Targeted Anti-Biofilm Therapy: Dissecting Targets in the Biofilm Life Cycle,2022,Pharmaceuticals,doi:10.3390/ph15101253,Scopus (brazo A); Scopus (brazo B),2
S14297,Targeted Antimicrobial Agents as Potential Tools for Modulating the Gut Microbiome,2022,Frontiers in Microbiology,doi:10.3389/fmicb.2022.879207,Scopus (brazo B),1
S4616,Targeted Antimicrobial Photodynamic Therapy of Biofilm-Embedded and Intracellular Staphylococci with a Phage Endolysin's Cell Binding Domain.,2022,Microbiology spectrum,doi:10.1128/spectrum.01466-21 pmid:35196798,PubMed; Scopus (brazo B),2
S5338,Targeted Nanoparticles for the Binding of Injured Vascular Endothelium after Percutaneous Coronary Intervention.,2022,"Molecules (Basel, Switzerland)",doi:10.3390/molecules27238144 pmid:36500236,PubMed,1
S4796,Targeted mutagenesis in Anaplasma marginale to define virulence and vaccine development against bovine anaplasmosis.,2022,PLoS pathogens,doi:10.1371/journal.ppat.1010540 pmid:35576225,PubMed; Scopus (brazo B),2
S13853,Targeted protein degradation using the lysosomal pathway,2022,RSC Medicinal Chemistry,doi:10.1039/d2md00273f,Scopus (brazo B),1
S5009,Targeted suppression of human IBD-associated gut microbiota commensals by phage consortia for treatment of intestinal inflammation.,2022,Cell,doi:10.1016/j.cell.2022.07.003 pmid:35931020,PubMed,1
S14028,Targeted therapy in Coronavirus disease 2019 (COVID-19): Implication from cell and gene therapy to immunotherapy and vaccine,2022,International Immunopharmacology,doi:10.1016/j.intimp.2022.109161 pmid:35998506,Scopus (brazo B),1
S4588,Targeting a proteolytic neoepitope on CUB domain containing protein 1 (CDCP1) for RAS-driven cancers.,2022,The Journal of clinical investigation,doi:10.1172/jci154604 pmid:35166238,PubMed,1
S5155,Targeting acute myeloid cell surface using a recombinant antibody isolated from whole-cell biopanning of a phage display human scFv antibody library.,2022,"Medical oncology (Northwood, London, England)",doi:10.1007/s12032-022-01806-9 pmid:36175701,PubMed; Scopus (brazo B),2
S4505,Targeting and neutralizing human epididymis protein 4 by novel nanobodies to suppress ovarian cancer cells and attenuate cisplatin resistance.,2022,International journal of biological macromolecules,doi:10.1016/j.ijbiomac.2022.01.015 pmid:35016970,PubMed,1
S14123,Targeting bacterial outer-membrane remodelling to impact antimicrobial drug resistance,2022,Trends in Microbiology,doi:10.1016/j.tim.2021.11.002 pmid:34872824,Scopus (brazo B),1
S4512,"Targeting of Pseudomonas aeruginosa cell surface via GP12, an Escherichia coli specific bacteriophage protein.",2022,Scientific reports,doi:10.1038/s41598-021-04627-4 pmid:35031652,PubMed; Scopus (brazo A),2
S4832,"Targeting of Silver Cations, Silver-Cystine Complexes, Ag Nanoclusters, and Nanoparticles towards SARS-CoV-2 RNA and Recombinant Virion Proteins.",2022,Viruses,doi:10.3390/v14050902 pmid:35632644,PubMed; Scopus (brazo B),2
S14472,Targeting vascular zip codes: from combinatorial selection to drug prototypes,2022,"The Vasculome: From Many, One",doi:10.1016/b978-0-12-822546-2.25001-6,Scopus (brazo B),1
S14660,Temperate enterococcal bacteriophages: genetic features and practical application,2022,Kliniceskaa Mikrobiologia i Antimikrobnaa Himioterapia,doi:10.36488/cmac.2022.3.213-218,Scopus (brazo B),1
S5464,Temperature-specific adaptations and genetic requirements in a biofilm formed by Pseudomonas aeruginosa.,2022,Frontiers in microbiology,doi:10.3389/fmicb.2022.1032520 pmid:36687584,PubMed; Scopus (brazo A),2
S14131,Temporal Transcriptional Responses of a Vibrio alginolyticus Strain to Podoviridae Phage HH109 Revealed by RNA-Seq,2022,mSystems,doi:10.1128/msystems.00106-22,Scopus (brazo B),1
S5052,Terminase Subunits from the Pseudomonas-Phage E217.,2022,Journal of molecular biology,doi:10.1016/j.jmb.2022.167799 pmid:36007626,PubMed; Scopus (brazo A),2
S4991,Tethered Function Assays to Elucidate the Role of RNA-Binding Proteins.,2022,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-0716-2521-7_17 pmid:35895271,PubMed,1
S14460,The Airway Microbiome: Present and Future Applications; [El microbioma de la vía aérea: Usos actuales y futuros],2022,Archivos de Bronconeumologia,doi:10.1016/j.arbres.2021.08.003,Scopus (brazo B),1
S4583,The Antibacterial Effect of PEGylated Carbosilane Dendrimers on P. aeruginosa Alone and in Combination with Phage-Derived Endolysin.,2022,International journal of molecular sciences,doi:10.3390/ijms23031873 pmid:35163794,PubMed; Scopus (brazo A),2
S14602,The Antibacterial Effects of Cocktail and Single Forms of Lytic Phages Belonging to Podoviridae and Myoviridae Families from Sewage against Shigella sonnei and Shigella flexneri,2022,BioMed Research International,doi:10.1155/2022/7833565 pmid:36467878,Scopus (brazo B),1
S14517,The Bacteriophage Pf-10—A Component of the Biopesticide “Multiphage” Used to Control Agricultural Crop Diseases Caused by Pseudomonas syringae,2022,Viruses,doi:10.3390/v14010042 pmid:35062246,Scopus (brazo B),1
S14206,The Beauty of Bacteriophage T4 Research: Lindsay W. Black and the T4 Head Assembly,2022,Viruses,doi:10.3390/v14040700 pmid:35458430,Scopus (brazo B),1
S14271,The Broad Host Range Phage vB_CpeS_BG3P Is Able to Inhibit Clostridium perfringens Growth,2022,Viruses,doi:10.3390/v14040676 pmid:35458406,Scopus (brazo B),1
S4749,The Chronic Wound Phageome: Phage Diversity and Associations with Wounds and Healing Outcomes.,2022,Microbiology spectrum,doi:10.1128/spectrum.02777-21 pmid:35435739,PubMed; Scopus (brazo B),2
S14233,The Combination of Phages and Faecal Microbiota Transplantation Can Effectively Treat Mouse Colitis Caused by Salmonella enterica Serovar Typhimurium,2022,Frontiers in Microbiology,doi:10.3389/fmicb.2022.944495,Scopus (brazo B),1
S13956,The Combination of Salmonella Phage ST-3 and Antibiotics to Prevent Salmonella Typhimurium In Vitro,2022,Current Microbiology,doi:10.1007/s00284-022-03073-3 pmid:36269452,Scopus (brazo B),1
S14452,The DNA-topoisomerase Inhibitors in Cancer Therapy,2022,Biomedical and Pharmacology Journal,doi:10.13005/bpj/2396,Scopus (brazo B),1
S10812,"The Development of Technology to Prevent, Diagnose, and Manage Antimicrobial Resistance in Healthcare-Associated Infections",2022,Vaccines,doi:10.3390/vaccines10122100,Scopus (brazo A),1
S14488,The Development of the Gut Microbiota in Childhood and Its Distortion by Lifestyle Changes,2022,Progress in Inflammation Research,doi:10.1007/978-3-030-91051-8_7,Scopus (brazo B),1
